last_name,n_incidents
perkins,12958
marsh,12957
javed,12956
noguchi,12948
nakanishi,12938
deshmukh,12890
ozturk,12886
swain,12879
hogan,12874
brady,12874
kahn,12870
kelley,12863
chew,12845
morton,12838
sood,12837
gerber,12833
hicks,12827
antunes,12825
sayed,12821
pillai,12798
pierce,12786
usman,12784
albrecht,12779
sharp,12770
franklin,12766
walters,12760
jacobson,12752
charles,12733
yue,12728
mclaughlin,12727
varghese,12719
herman,12707
lorenz,12705
imran,12704
moraes,12700
lombardi,12684
sethi,12684
willis,12683
sherman,12679
rahimi,12675
wolfe,12665
mclean,12658
popescu,12655
bandyopadhyay,12651
fatima,12650
prabhu,12646
kessler,12644
morimoto,12643
jadhav,12614
daniels,12609
leone,12606
ku,12604
hui,12602
kane,12600
kawasaki,12586
balasubramanian,12583
noor,12574
flynn,12574
pfeiffer,12570
hattori,12550
mostafa,12546
butt,12542
siegel,12538
bianco,12537
husain,12511
visser,12502
cheong,12497
yildiz,12493
heinrich,12455
ohta,12451
garrido,12449
rahim,12414
contreras,12414
varga,12410
meena,12409
gold,12409
arshad,12408
mariani,12386
urban,12386
narayan,12372
oda,12370
elias,12357
hauser,12351
varma,12351
kaushik,12339
wall,12328
schulze,12318
carbone,12316
barr,12311
morais,12310
duffy,12298
kawakami,12294
akbar,12281
moreau,12278
petit,12277
vasconcelos,12259
aslam,12250
carey,12229
macedo,12218
zimmerman,12218
sultana,12210
niu,12209
conway,12202
sanz,12200
galli,12199
ott,12191
ravi,12178
kiss,12168
connolly,12167
fontana,12158
zakaria,12135
nasir,12133
holt,12129
gruber,12126
rosenthal,12118
raymond,12109
majumdar,12088
harrington,12083
ishihara,12083
steinberg,12076
shrivastava,12068
gregory,12048
akiyama,12046
santiago,12042
palma,12040
blum,12038
yates,12035
girard,12023
norris,11990
yee,11981
fuentes,11977
zetterberg,11977
okumura,11962
nash,11950
akbari,11942
otsuka,11940
boyer,11938
grimm,11918
sawada,11915
tung,11904
menezes,11903
griffith,11900
sarma,11873
martinelli,11871
lestari,11858
rawat,11858
lawson,11858
mahmud,11857
kara,11855
committee,11852
olsson,11843
maher,11831
jacobsen,11819
nicholson,11819
johansen,11805
chaves,11798
sauer,11796
noda,11795
conte,11791
burger,11786
salehi,11771
field,11768
fukushima,11766
jana,11751
gabriel,11747
amorim,11742
kabir,11731
adler,11729
mckay,11729
alqahtani,11724
schwab,11715
shepherd,11702
arya,11688
barreto,11684
kern,11674
roche,11655
durand,11648
tsuchiya,11631
reeves,11628
fournier,11625
mei,11615
salim,11608
franke,11605
chopra,11605
sulaiman,11603
fernando,11600
fabbri,11599
amini,11599
brand,11586
tremblay,11577
brunner,11560
roman,11557
alghamdi,11553
chawla,11541
persson,11533
owens,11524
thapa,11522
mousavi,11517
rousseau,11502
nugroho,11497
miao,11484
tay,11484
maity,11483
bezerra,11481
