last_name,n_incidents,predicted_nationality,confidence
barbosa,34083,Portuguese,0.11724
arora,34062,American,0.220614
ren,33989,American,0.378209
chiang,33982,Chinese,0.635078
ruiz,33971,American,0.404701
tian,33932,Armenian,0.256714
alexander,33874,American,0.338867
fox,33840,American,0.433847
zeng,33796,Chinese,0.75935
wen,33762,American,0.260588
mondal,33702,American,0.220441
cox,33692,American,0.517046
tseng,33664,Norwegian,0.408807
chauhan,33570,Korean,0.19381
keller,33517,American,0.400357
koch,33431,American,0.351922
ji,33344,Indian,0.145514
reis,33081,American,0.393056
yi,33032,Korean,0.156865
okada,33029,Japanese,0.611485
petersen,33014,Faroese,0.167231
stein,33003,American,0.387376
ferrari,32852,Italian,0.415728
duarte,32796,Portuguese,0.195171
peterson,32575,American,0.280626
andrade,32539,American,0.187009
aziz,32525,American,0.303768
hashimoto,32415,Japanese,0.887532
hasegawa,32369,Japanese,0.540956
cardoso,32270,Portuguese,0.311529
sahoo,32243,Indonesian,0.086794
ikeda,32178,American,0.146141
dai,32077,American,0.210495
hamilton,32008,American,0.256066
david,31958,American,0.249013
sen,31922,Faroese,0.374405
campos,31906,Greek,0.174436
beck,31874,American,0.306665
kulkarni,31772,Indian,0.633482
cui,31757,American,0.255998
jha,31735,Indian,0.371125
simpson,31634,American,0.155843
lau,31618,American,0.282775
butler,31491,American,0.497334
koh,31483,American,0.139721
ong,31446,Chinese,0.163125
yamashita,31214,Japanese,0.737317
christensen,31068,Norwegian,0.573008
dey,31024,American,0.351628
gill,31021,American,0.457066
mayer,30955,American,0.399068
mcdonald,30817,American,0.423232
hou,30768,Chinese,0.125145
john,30717,American,0.342939
ogawa,30700,Nigerian,0.142135
nayak,30643,Russian,0.161158
bailey,30622,American,0.358076
woo,30613,Korean,0.302126
richter,30594,German,0.276675
rose,30579,American,0.38832
arnold,30340,American,0.299205
robertson,30063,American,0.306096
gomez,30002,American,0.378058
nunes,29989,Portuguese,0.419212
johnston,29924,American,0.307288
tripathi,29885,Indian,0.448447
thakur,29870,Indian,0.452244
mohammadi,29841,Iranian,0.766815
foster,29781,American,0.279717
shrestha,29776,Indian,0.388629
franco,29689,American,0.246411
bhat,29683,Indian,0.290131
sakai,29660,Japanese,0.415951
navarro,29613,Brazilian,0.224304
kondo,29572,Japanese,0.161328
mahmoud,29528,Iranian,0.401319
prakash,29500,Indian,0.563977
stone,29406,American,0.437575
pedersen,29279,Faroese,0.255948
fujita,29224,Japanese,0.581615
schmitt,29122,German,0.492282
maeda,29105,Japanese,0.173314
flores,29060,American,0.180901
mohan,28974,American,0.265759
braun,28935,German,0.199795
miranda,28926,Indian,0.403334
goyal,28910,American,0.18323
sari,28804,Iranian,0.226147
stevens,28721,Belgian,0.218423
baek,28694,Dutch,0.183494
ishikawa,28678,Japanese,0.646944
lange,28650,American,0.32995
morales,28647,American,0.170791
meng,28572,Chinese,0.599117
xia,28510,American,0.215074
chong,28468,Chinese,0.492455
alonso,28453,Brazilian,0.35531
brooks,28427,American,0.395832
