first_name,n_incidents,predicted_nationality,confidence
fatemeh,51197,Iranian,0.460841
naoki,50757,Japanese,0.320643
brandon,50734,Brazilian,0.530642
nick,50533,American,0.368353
roberta,50241,American,0.232297
hugo,50128,American,0.253671
valeria,50021,Russian,0.190692
erika,49908,American,0.130326
raymond,49720,American,0.404583
thierry,49658,French,0.753012
jing,49623,Korean,0.246671
felipe,49590,Brazilian,0.244815
sabrina,49429,Indonesian,0.134086
geoffrey,49317,English,0.373972
sofia,49131,American,0.096421
joan,48964,American,0.174574
georg,48920,German,0.202015
jenny,48888,Indian,0.17031
louis,48887,American,0.261231
petr,48819,American,0.463962
petra,48789,American,0.140373
lee,48711,American,0.405221
alexis,48584,French,0.186759
maurizio,48528,Brazilian,0.285853
raquel,48525,American,0.210298
enrique,48514,Brazilian,0.233302
deepak,48458,Indian,0.397706
dana,48309,American,0.123901
rajesh,48309,Indian,0.52619
andrzej,48279,American,0.127233
li,48186,American,0.327726
hiroaki,48171,Japanese,0.338938
mauro,48138,Brazilian,0.28293
cecilia,47979,Romanian,0.171552
rosa,47953,American,0.204676
abhishek,47907,Indian,0.659953
jaime,47879,Nigerian,0.160753
francis,47831,American,0.240461
alicia,47544,American,0.232572
sam,47337,American,0.128544
dominik,47308,American,0.186141
katie,47294,American,0.193148
mohsen,47098,Norwegian,0.347521
beatriz,47073,American,0.371348
grace,46980,American,0.377326
mike,46819,American,0.45584
salvatore,46810,American,0.193392
simona,46644,Tongan,0.084427
erica,46641,Brazilian,0.188302
jordi,46638,Iranian,0.206209
ralf,46556,American,0.332119
fiona,46475,Italian,0.237024
joachim,46374,American,0.152603
guy,46330,American,0.262489
ignacio,46318,American,0.146698
ravi,46277,Indian,0.310309
marcin,46269,French,0.184302
laurence,46109,American,0.242939
graham,46079,Indian,0.174761
oleg,46041,American,0.177383
nikolaos,45953,Greek,0.814457
bo,45631,American,0.187916
jana,45579,Indian,0.249684
kristen,45533,American,0.138829
christos,45339,Greek,0.714369
tyler,45256,American,0.578345
evan,45052,Armenian,0.20518
abdul,44862,Brazilian,0.137707
guillermo,44673,Argentine,0.286622
carolyn,44591,American,0.281099
shannon,44568,American,0.176771
lei,44529,American,0.325787
axel,44459,American,0.230867
giorgio,44437,Italian,0.387842
xin,44363,American,0.383913
clara,44329,American,0.279209
gerald,43927,American,0.335038
ryo,43881,American,0.294401
